Publishing Date,Headlines,Category,Structural Hierarchy Description
7/11/2018,['Global trade war to be a boon for Black Sea grain'],Market,Stock Market
7/12/2018,"['OPEC warns of trade war ‘risks’ for oil market', 'Trade war ramps up as US threatens $200bln in Chinese goods']",Market,Stock Market
7/13/2018,['US firms in China urged to lobby Washington over trade war'],Market,Stock Market
7/17/2018,['China growth slows in 2Q warns on trade war'],Market,Stock Market
7/19/2018,['US ‘especially vulnerable’ in trade war: IMF’s Lagarde'],Market,Stock Market
7/24/2018,['EU’s Juncker in last-ditch bid to end Trump trade war'],Market,Stock Market
7/25/2018,['Trade war risk to dominate BRICS summit in S Africa'],Market,Stock Market
7/27/2018,['BRICS nations pledge unity against US trade war threat'],Market,Stock Market
7/29/2018,"['China eyes infrastructure boost to cushion growth as trade war escalates', 'Emerging markets, in trade war crossfire, face deepening policy conundrum', 'US farm aid flimsy bandage on deep trade war wound']",Market,Stock Market
7/31/2018,"['LNG becomes more volatile on heat wave, Trump’s trade war']",Market,Stock Market
8/2/2018,['Global factory growth slowing China-US trade war biting'],Market,Stock Market
8/3/2018,['China says US ‘disappoints’ the world with trade war'],Market,Stock Market
8/5/2018,['Asian countries denounce ‘real threat’ of global trade war'],Market,Stock Market
4/5/2006,['Oil prices fall'],OilGas,Sector in the stock market
4/9/2006,"['Edible oil prices remain stable', 'Oil prices gain, metals shine']",OilGas,Sector in the stock market
4/11/2006,"['Oil prices rise, supported by fears of conflict in Iran']",OilGas,Sector in the stock market
4/13/2006,"['PSO seeks 585,000T fuel oil']",OilGas,Sector in the stock market
4/15/2006,['High oil prices threaten global stability: IMF'],OilGas,Sector in the stock market
4/16/2006,"['Oil prices remain unchanged', 'SCNGA warns to close stations due to hike in gas prices']",OilGas,Sector in the stock market
4/19/2006,['FAL Oil may win PSO tender'],OilGas,Sector in the stock market
4/20/2006,"['SSGC comes under fire over tariff hike petition', 'Shell PAT dips 35pc']",OilGas,Sector in the stock market
4/21/2006,"['Energy talks seek to bring down oil prices', 'PSO-MALC Medical Centre inaugurated']",OilGas,Sector in the stock market
4/22/2006,['High oil prices pose serious threat to global growth'],OilGas,Sector in the stock market
4/23/2006,"['Textile sector to resist gas tariff hike', 'Edible oil prices rise', 'OPEC can do little to tame record oil prices: officials', 'Oil top brass talks investment, prices at summit', 'Oil prices storm to record highs, gold shines']",OilGas,Sector in the stock market
4/24/2006,['POL’s bonus issue and rumours'],OilGas,Sector in the stock market
4/25/2006,['Oil prices fall after hitting peak'],OilGas,Sector in the stock market
4/26/2006,['Oil prices fall'],OilGas,Sector in the stock market
4/28/2006,['PSO announces dividend'],OilGas,Sector in the stock market
4/29/2006,['PPL declares no dividend despite income growth'],OilGas,Sector in the stock market
4/30/2006,['SSGC third quarter profit drops'],OilGas,Sector in the stock market
5/1/2006,['Oil prices up by 2.5 to 7.17pc'],OilGas,Sector in the stock market
5/2/2006,"['Hike in oil prices criticised', 'Oil prices rise above $73 per barrel', 'High oil prices to stay, says US energy secretary']",OilGas,Sector in the stock market
5/3/2006,['SC issues notice to Ogra over govt levies on POL'],OilGas,Sector in the stock market
5/4/2006,['Gulf Arabs urged to liberalise natural gas prices'],OilGas,Sector in the stock market
5/5/2006,"['Shell sees profits climb on soaring oil prices', 'PC appoints lead managers for OGDC GDRs']",OilGas,Sector in the stock market
5/6/2006,['Senate body asks PSO to train students'],OilGas,Sector in the stock market
5/9/2006,"['Oil prices recede on easing Iran tension', 'Oman repaying foreign debt due to high oil prices', 'Senate body proposes cut in sales tax on POL products']",OilGas,Sector in the stock market
5/11/2006,"['‘OGDC plant in Pir Koh safe, sound’']",OilGas,Sector in the stock market
5/12/2006,['Oil prices march higher'],OilGas,Sector in the stock market
5/13/2006,['Senate committee visits SSGC'],OilGas,Sector in the stock market
5/16/2006,['POL prices remain unchanged'],OilGas,Sector in the stock market
5/17/2006,['Oil prices rebound $1 after sell-off'],OilGas,Sector in the stock market
5/20/2006,['Oil prices rebound'],OilGas,Sector in the stock market
5/21/2006,"['Metals’ prices lose shine, oil slides']",OilGas,Sector in the stock market
5/23/2006,['Oil prices fall to lowest level since early April'],OilGas,Sector in the stock market
5/24/2006,['SC seeks NAB report on oil prices'],OilGas,Sector in the stock market
5/30/2006,['Massive investment in oil refineries could cut global fuel prices'],OilGas,Sector in the stock market
5/31/2006,['SSGC encourages conservation of gas'],OilGas,Sector in the stock market
6/1/2006,['Oil prices lower on eve of OPEC meeting'],OilGas,Sector in the stock market
6/3/2006,"['Oil prices climb as traders track Iran news', 'SSGC defends tariff increase']",OilGas,Sector in the stock market
6/6/2006,['High oil prices to push airlines to losses'],OilGas,Sector in the stock market
6/14/2006,['Oil prices drop'],OilGas,Sector in the stock market
6/16/2006,"['Oil prices rise back towards $70', 'New vehicles included in SSGC’s emergency fleet']",OilGas,Sector in the stock market
6/21/2006,['Oil prices rebound'],OilGas,Sector in the stock market
6/22/2006,['Mari Gas wins three exploration licences'],OilGas,Sector in the stock market
6/23/2006,['Oil prices gain on US supply concerns'],OilGas,Sector in the stock market
6/30/2006,['Oil prices build on gains'],OilGas,Sector in the stock market
7/1/2006,"['Increase in gas prices to be notified today', 'Oil prices remain unchanged']",OilGas,Sector in the stock market
7/3/2006,['Gas prices up by 10 per cent'],OilGas,Sector in the stock market
7/5/2006,['Gas tariff hike endangers survival of textile sector'],OilGas,Sector in the stock market
7/7/2006,['Oil prices fall from record highs'],OilGas,Sector in the stock market
7/8/2006,['Oil prices strike highs beyond $75'],OilGas,Sector in the stock market
7/9/2006,"['Oil prices enjoy record run, metals hammer higher']",OilGas,Sector in the stock market
7/11/2006,['Oil prices fall further from record levels'],OilGas,Sector in the stock market
7/13/2006,"['Oil prices firm amid US data, Iran talks']",OilGas,Sector in the stock market
7/14/2006,"['Oil prices hit record beyond $76', 'SSGC for effective gas utilisation']",OilGas,Sector in the stock market
7/15/2006,"['Oil prices hit new peak above $78', 'Skyrocketing oil prices set to complicate G8 summit']",OilGas,Sector in the stock market
7/16/2006,"['Oil prices smash records, metals rise on ME tensions']",OilGas,Sector in the stock market
7/18/2006,"['SSGC, OPI ink gas supply agreement']",OilGas,Sector in the stock market
7/19/2006,['Oil prices rebound slightly after heavy falls'],OilGas,Sector in the stock market
7/20/2006,"['POL price increase possible, say analysts']",OilGas,Sector in the stock market
7/23/2006,"['PM seeks oil, gas supply at affordable prices', 'Oil prices fall from historic highs, metals drop', 'Investment in oil, gas sector discussed']",OilGas,Sector in the stock market
7/25/2006,['Oil prices drop amid hopes of ceasefire in Lebanon'],OilGas,Sector in the stock market
7/26/2006,['Oil prices slide below $74'],OilGas,Sector in the stock market
8/1/2006,"['Edible oil, ghee prices surged during July']",OilGas,Sector in the stock market
8/4/2006,"['Gold falls on weaker oil prices', 'PSO declares cash dividend of Rs18']",OilGas,Sector in the stock market
8/5/2006,"['Oil prices ease, storm Chris downgraded']",OilGas,Sector in the stock market
8/6/2006,"['Oil prices rebound, coffee spikes']",OilGas,Sector in the stock market
8/9/2006,['Oil prices hit new high'],OilGas,Sector in the stock market
8/18/2006,"['World oil prices sink to near two-month lows', 'PPL announces 55pc dividend', 'Zaiviji Ismail appointed Shell chief']",OilGas,Sector in the stock market
8/26/2006,['Chinese firm discusses oil investment'],OilGas,Sector in the stock market
8/27/2006,"['Oil prices spike, nickel and coffee hit peaks']",OilGas,Sector in the stock market
8/29/2006,['Oil prices fall'],OilGas,Sector in the stock market
8/31/2006,['Oil prices at 10-week low'],OilGas,Sector in the stock market
9/3/2006,"['Oil prices tumble, metals shine']",OilGas,Sector in the stock market
9/6/2006,['World oil prices mixed'],OilGas,Sector in the stock market
9/10/2006,"['Oil prices slump, denting metals’ gains']",OilGas,Sector in the stock market
9/17/2006,"['Oil, metal prices slide to multi-month lows']",OilGas,Sector in the stock market
9/21/2006,['Oil prices below $61'],OilGas,Sector in the stock market
9/22/2006,['PSO achieved goals despite odds: MD'],OilGas,Sector in the stock market
9/24/2006,"['Oil prices slide further, metals climb', 'SSGC may seek cut in gas tariff', 'Shell acquires Tongyi lubricant brand']",OilGas,Sector in the stock market
9/27/2006,"['Oil prices firm after choppy trading', 'Palm oil prices rise']",OilGas,Sector in the stock market
9/28/2006,['Oil prices rebound before US data'],OilGas,Sector in the stock market
9/29/2006,"['Oil prices extend gains', 'Gold regains $600 on firm oil prices']",OilGas,Sector in the stock market
9/30/2006,['OGDC shareholders approve annual accounts'],OilGas,Sector in the stock market
10/1/2006,"['Crude oil prices firm, wheat takes off']",OilGas,Sector in the stock market
10/3/2006,['SSGC announces cash dividend at Rs1.30 per share'],OilGas,Sector in the stock market
10/6/2006,"['Investment in oil, gas discussed', 'Palm oil prices rise', 'PSO seeks 520,000 tonnes of fuel oil']",OilGas,Sector in the stock market
10/7/2006,"['Industrialists seek cut in gas prices', 'Immediate reduction in POL prices demanded']",OilGas,Sector in the stock market
10/12/2006,['Adjournment motion on oil prices filed in NA'],OilGas,Sector in the stock market
10/13/2006,"['Oil prices rise but heavy stockpiles weigh', 'PPL to invest $7.7m for exploration in Indus block']",OilGas,Sector in the stock market
10/14/2006,['No cut in oil prices despite world market slump: Azeem'],OilGas,Sector in the stock market
10/15/2006,"['PPP to take up oil prices issue in NA, Senate']",OilGas,Sector in the stock market
10/17/2006,['Oil prices rise ahead of OPEC meeting'],OilGas,Sector in the stock market
10/18/2006,"['Pakistan, Japan to expand ties in oil, gas sector']",OilGas,Sector in the stock market
10/19/2006,"['Oil prices ease as traders mull OPEC, US stocks']",OilGas,Sector in the stock market
10/20/2006,"['PSO buys 520,000 tonnes of fuel oil', 'SSGC issues Rs86,808 bill to residential consumer']",OilGas,Sector in the stock market
10/22/2006,"['Base metals hit new peaks, oil prices weaken']",OilGas,Sector in the stock market
10/24/2006,['Shell bids for control of Shell Canada'],OilGas,Sector in the stock market
10/25/2006,['Crude oil prices continue to slip'],OilGas,Sector in the stock market
10/31/2006,"['PPL approves 55pc final dividend', 'SSGC accounts approved']",OilGas,Sector in the stock market
11/1/2006,['PSO profit drops by Rs1.9bn'],OilGas,Sector in the stock market
11/5/2006,"['Oil prices slide, wool fluffs up']",OilGas,Sector in the stock market
11/7/2006,['‘Very low oil prices not sustainable’'],OilGas,Sector in the stock market
11/9/2006,"['Oil prices climb ahead of US energy report', 'SSGC wins Rs4bn financing facility', 'PSO seeks 780,000T fuel oil']",OilGas,Sector in the stock market
11/10/2006,"['Tremendous investment potential in oil,  gas sector', 'Oil prices breach $60']",OilGas,Sector in the stock market
11/11/2006,['Oil prices pull back as IEA lowers demand forecast'],OilGas,Sector in the stock market
11/12/2006,['New oil policy to attract more investment'],OilGas,Sector in the stock market
11/14/2006,['15pc OGDC shares to be sold by Dec'],OilGas,Sector in the stock market
11/15/2006,['Crude oil prices edge up'],OilGas,Sector in the stock market
11/17/2006,['Oil prices extend gains'],OilGas,Sector in the stock market
11/19/2006,"['Commodity prices retreat, crude oil tumbles']",OilGas,Sector in the stock market
11/23/2006,['OGDC restrained from finalising LPG plants deal'],OilGas,Sector in the stock market
11/25/2006,"['Chinese firm to invest more in oil, gas sector']",OilGas,Sector in the stock market
11/28/2006,['Palm oil up 2.4pc on firm soyoil prices'],OilGas,Sector in the stock market
11/30/2006,['SC urges reduction in POL prices'],OilGas,Sector in the stock market
12/1/2006,['Salman rules out cut in oil prices'],OilGas,Sector in the stock market
12/2/2006,['POL prices may be cut by 15th'],OilGas,Sector in the stock market
12/3/2006,['PC invites SoQs for PSO'],OilGas,Sector in the stock market
12/7/2006,"['Oil prices slip before US stocks data', 'LSE starts OGDC trading']",OilGas,Sector in the stock market
12/9/2006,['Oil prices jump on Nigeria concerns'],OilGas,Sector in the stock market
12/13/2006,['Palm oil prices firm'],OilGas,Sector in the stock market
12/14/2006,"['PSO, SSGC ink accord']",OilGas,Sector in the stock market
12/16/2006,['Oil prices rise as traders digest OPEC cut'],OilGas,Sector in the stock market
12/22/2006,['Oil prices drop'],OilGas,Sector in the stock market
12/27/2006,"['Edible oil prices jump, further surge likely']",OilGas,Sector in the stock market
12/29/2006,['Shell needs to invest more in Sakhalin-2'],OilGas,Sector in the stock market
12/30/2006,"['No cut in gas supply to power plants: SSGC', 'PSO celebrates 30th anniversary']",OilGas,Sector in the stock market
1/2/2007,['Oil prices dive below $50'],OilGas,Sector in the stock market
1/4/2007,['Fall in oil prices may trim UAE budget surplus'],OilGas,Sector in the stock market
1/6/2007,"['Oil prices slump below $55', 'PSO ready for privatisation: PM']",OilGas,Sector in the stock market
1/9/2007,['Oil prices extend recovery'],OilGas,Sector in the stock market
1/10/2007,"['Oil prices slide below $55', 'OGDC, Shell join hands to find oil, gas', 'PSO to import 585,000 tonnes of HSFO']",OilGas,Sector in the stock market
